analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-sex__connecticut__0-44__female,us_sex,Connecticut,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__0-44__male,us_sex,Connecticut,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__45-64__female,us_sex,Connecticut,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__45-64__male,us_sex,Connecticut,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__65-84__female,us_sex,Connecticut,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__65-84__male,us_sex,Connecticut,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__ge85__female,us_sex,Connecticut,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__connecticut__ge85__male,us_sex,Connecticut,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__delaware__0-44__female,us_sex,Delaware,0-44,female,TRUE,,1999-01-31,2023-08-31,108,188
us__us-sex__delaware__0-44__male,us_sex,Delaware,0-44,male,TRUE,,1999-01-31,2023-08-31,271,25
us__us-sex__delaware__45-64__female,us_sex,Delaware,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__delaware__45-64__male,us_sex,Delaware,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__delaware__65-84__female,us_sex,Delaware,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__delaware__65-84__male,us_sex,Delaware,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__delaware__ge85__female,us_sex,Delaware,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__delaware__ge85__male,us_sex,Delaware,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__district-of-columbia__0-44__female,us_sex,District of Columbia,0-44,female,TRUE,,1999-01-31,2022-10-31,92,204
us__us-sex__district-of-columbia__0-44__male,us_sex,District of Columbia,0-44,male,TRUE,,1999-01-31,2023-08-31,238,58
us__us-sex__district-of-columbia__45-64__female,us_sex,District of Columbia,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__district-of-columbia__45-64__male,us_sex,District of Columbia,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__district-of-columbia__65-84__female,us_sex,District of Columbia,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__district-of-columbia__65-84__male,us_sex,District of Columbia,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__district-of-columbia__ge85__female,us_sex,District of Columbia,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__district-of-columbia__ge85__male,us_sex,District of Columbia,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__0-44__female,us_sex,Florida,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__0-44__male,us_sex,Florida,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__45-64__female,us_sex,Florida,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__45-64__male,us_sex,Florida,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__65-84__female,us_sex,Florida,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__65-84__male,us_sex,Florida,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__ge85__female,us_sex,Florida,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__florida__ge85__male,us_sex,Florida,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__0-44__female,us_sex,Georgia,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__0-44__male,us_sex,Georgia,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__45-64__female,us_sex,Georgia,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__45-64__male,us_sex,Georgia,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__65-84__female,us_sex,Georgia,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__65-84__male,us_sex,Georgia,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__ge85__female,us_sex,Georgia,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__georgia__ge85__male,us_sex,Georgia,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__hawaii__0-44__female,us_sex,Hawaii,0-44,female,TRUE,,1999-01-31,2023-08-31,98,198
us__us-sex__hawaii__0-44__male,us_sex,Hawaii,0-44,male,TRUE,,1999-01-31,2023-08-31,290,6
us__us-sex__hawaii__45-64__female,us_sex,Hawaii,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__hawaii__45-64__male,us_sex,Hawaii,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__hawaii__65-84__female,us_sex,Hawaii,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__hawaii__65-84__male,us_sex,Hawaii,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__hawaii__ge85__female,us_sex,Hawaii,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__hawaii__ge85__male,us_sex,Hawaii,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__idaho__0-44__female,us_sex,Idaho,0-44,female,TRUE,,1999-02-28,2023-08-31,205,91
us__us-sex__idaho__0-44__male,us_sex,Idaho,0-44,male,TRUE,,1999-01-31,2023-08-31,292,4
us__us-sex__idaho__45-64__female,us_sex,Idaho,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__idaho__45-64__male,us_sex,Idaho,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__idaho__65-84__female,us_sex,Idaho,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__idaho__65-84__male,us_sex,Idaho,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__idaho__ge85__female,us_sex,Idaho,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__idaho__ge85__male,us_sex,Idaho,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__0-44__female,us_sex,Illinois,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__0-44__male,us_sex,Illinois,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__45-64__female,us_sex,Illinois,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__45-64__male,us_sex,Illinois,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__65-84__female,us_sex,Illinois,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__65-84__male,us_sex,Illinois,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__ge85__female,us_sex,Illinois,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__illinois__ge85__male,us_sex,Illinois,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__0-44__female,us_sex,Indiana,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__0-44__male,us_sex,Indiana,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__45-64__female,us_sex,Indiana,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__45-64__male,us_sex,Indiana,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__65-84__female,us_sex,Indiana,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__65-84__male,us_sex,Indiana,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__ge85__female,us_sex,Indiana,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__indiana__ge85__male,us_sex,Indiana,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__0-44__female,us_sex,Iowa,0-44,female,TRUE,,1999-01-31,2023-08-31,295,1
us__us-sex__iowa__0-44__male,us_sex,Iowa,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__45-64__female,us_sex,Iowa,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__45-64__male,us_sex,Iowa,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__65-84__female,us_sex,Iowa,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__65-84__male,us_sex,Iowa,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__ge85__female,us_sex,Iowa,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__iowa__ge85__male,us_sex,Iowa,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__0-44__female,us_sex,Kansas,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__0-44__male,us_sex,Kansas,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__45-64__female,us_sex,Kansas,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__45-64__male,us_sex,Kansas,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__65-84__female,us_sex,Kansas,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__65-84__male,us_sex,Kansas,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__ge85__female,us_sex,Kansas,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kansas__ge85__male,us_sex,Kansas,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__0-44__female,us_sex,Kentucky,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__0-44__male,us_sex,Kentucky,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__45-64__female,us_sex,Kentucky,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__45-64__male,us_sex,Kentucky,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__65-84__female,us_sex,Kentucky,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__65-84__male,us_sex,Kentucky,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__ge85__female,us_sex,Kentucky,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__kentucky__ge85__male,us_sex,Kentucky,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__0-44__female,us_sex,Louisiana,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__0-44__male,us_sex,Louisiana,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__45-64__female,us_sex,Louisiana,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__45-64__male,us_sex,Louisiana,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__65-84__female,us_sex,Louisiana,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__65-84__male,us_sex,Louisiana,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__ge85__female,us_sex,Louisiana,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__louisiana__ge85__male,us_sex,Louisiana,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maine__0-44__female,us_sex,Maine,0-44,female,TRUE,,1999-02-28,2023-08-31,150,146
us__us-sex__maine__0-44__male,us_sex,Maine,0-44,male,TRUE,,1999-01-31,2023-08-31,292,4
us__us-sex__maine__45-64__female,us_sex,Maine,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maine__45-64__male,us_sex,Maine,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maine__65-84__female,us_sex,Maine,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maine__65-84__male,us_sex,Maine,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maine__ge85__female,us_sex,Maine,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maine__ge85__male,us_sex,Maine,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__0-44__female,us_sex,Maryland,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__0-44__male,us_sex,Maryland,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__45-64__female,us_sex,Maryland,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__45-64__male,us_sex,Maryland,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__65-84__female,us_sex,Maryland,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__65-84__male,us_sex,Maryland,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__ge85__female,us_sex,Maryland,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__maryland__ge85__male,us_sex,Maryland,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__0-44__female,us_sex,Massachusetts,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__0-44__male,us_sex,Massachusetts,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__45-64__female,us_sex,Massachusetts,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__45-64__male,us_sex,Massachusetts,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__65-84__female,us_sex,Massachusetts,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__65-84__male,us_sex,Massachusetts,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__ge85__female,us_sex,Massachusetts,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__massachusetts__ge85__male,us_sex,Massachusetts,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__0-44__female,us_sex,Michigan,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__0-44__male,us_sex,Michigan,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__45-64__female,us_sex,Michigan,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__45-64__male,us_sex,Michigan,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__65-84__female,us_sex,Michigan,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__65-84__male,us_sex,Michigan,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__ge85__female,us_sex,Michigan,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__michigan__ge85__male,us_sex,Michigan,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__0-44__female,us_sex,Minnesota,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__0-44__male,us_sex,Minnesota,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__45-64__female,us_sex,Minnesota,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__45-64__male,us_sex,Minnesota,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__65-84__female,us_sex,Minnesota,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__65-84__male,us_sex,Minnesota,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__ge85__female,us_sex,Minnesota,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__minnesota__ge85__male,us_sex,Minnesota,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__0-44__female,us_sex,Mississippi,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__0-44__male,us_sex,Mississippi,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__45-64__female,us_sex,Mississippi,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__45-64__male,us_sex,Mississippi,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__65-84__female,us_sex,Mississippi,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__65-84__male,us_sex,Mississippi,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__ge85__female,us_sex,Mississippi,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__mississippi__ge85__male,us_sex,Mississippi,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__0-44__female,us_sex,Missouri,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__0-44__male,us_sex,Missouri,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__45-64__female,us_sex,Missouri,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__45-64__male,us_sex,Missouri,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__65-84__female,us_sex,Missouri,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__65-84__male,us_sex,Missouri,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__ge85__female,us_sex,Missouri,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__missouri__ge85__male,us_sex,Missouri,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__montana__0-44__female,us_sex,Montana,0-44,female,TRUE,,1999-12-31,2023-08-31,111,185
us__us-sex__montana__0-44__male,us_sex,Montana,0-44,male,TRUE,,1999-01-31,2023-08-31,281,15
us__us-sex__montana__45-64__female,us_sex,Montana,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__montana__45-64__male,us_sex,Montana,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__montana__65-84__female,us_sex,Montana,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__montana__65-84__male,us_sex,Montana,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__montana__ge85__female,us_sex,Montana,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__montana__ge85__male,us_sex,Montana,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__0-44__female,us_sex,Nebraska,0-44,female,TRUE,,1999-01-31,2023-08-31,232,64
us__us-sex__nebraska__0-44__male,us_sex,Nebraska,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__45-64__female,us_sex,Nebraska,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__45-64__male,us_sex,Nebraska,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__65-84__female,us_sex,Nebraska,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__65-84__male,us_sex,Nebraska,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__ge85__female,us_sex,Nebraska,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nebraska__ge85__male,us_sex,Nebraska,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__0-44__female,us_sex,Nevada,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__0-44__male,us_sex,Nevada,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__45-64__female,us_sex,Nevada,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__45-64__male,us_sex,Nevada,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__65-84__female,us_sex,Nevada,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__65-84__male,us_sex,Nevada,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__ge85__female,us_sex,Nevada,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__nevada__ge85__male,us_sex,Nevada,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-hampshire__0-44__female,us_sex,New Hampshire,0-44,female,TRUE,,1999-05-31,2023-07-31,123,173
us__us-sex__new-hampshire__0-44__male,us_sex,New Hampshire,0-44,male,TRUE,,1999-01-31,2023-08-31,278,18
us__us-sex__new-hampshire__45-64__female,us_sex,New Hampshire,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-hampshire__45-64__male,us_sex,New Hampshire,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-hampshire__65-84__female,us_sex,New Hampshire,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-hampshire__65-84__male,us_sex,New Hampshire,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-hampshire__ge85__female,us_sex,New Hampshire,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-hampshire__ge85__male,us_sex,New Hampshire,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__0-44__female,us_sex,New Jersey,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__0-44__male,us_sex,New Jersey,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__45-64__female,us_sex,New Jersey,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__45-64__male,us_sex,New Jersey,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__65-84__female,us_sex,New Jersey,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__65-84__male,us_sex,New Jersey,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__ge85__female,us_sex,New Jersey,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-jersey__ge85__male,us_sex,New Jersey,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__0-44__female,us_sex,New Mexico,0-44,female,TRUE,,1999-01-31,2023-08-31,295,1
us__us-sex__new-mexico__0-44__male,us_sex,New Mexico,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__45-64__female,us_sex,New Mexico,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__45-64__male,us_sex,New Mexico,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__65-84__female,us_sex,New Mexico,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__65-84__male,us_sex,New Mexico,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__ge85__female,us_sex,New Mexico,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-mexico__ge85__male,us_sex,New Mexico,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__0-44__female,us_sex,New York,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__0-44__male,us_sex,New York,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__45-64__female,us_sex,New York,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__45-64__male,us_sex,New York,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__65-84__female,us_sex,New York,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__65-84__male,us_sex,New York,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__ge85__female,us_sex,New York,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__new-york__ge85__male,us_sex,New York,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__0-44__female,us_sex,North Carolina,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__0-44__male,us_sex,North Carolina,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__45-64__female,us_sex,North Carolina,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__45-64__male,us_sex,North Carolina,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__65-84__female,us_sex,North Carolina,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__65-84__male,us_sex,North Carolina,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__ge85__female,us_sex,North Carolina,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-carolina__ge85__male,us_sex,North Carolina,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-dakota__0-44__female,us_sex,North Dakota,0-44,female,TRUE,,2000-11-30,2023-07-31,11,285
us__us-sex__north-dakota__0-44__male,us_sex,North Dakota,0-44,male,TRUE,,1999-04-30,2023-08-31,139,157
us__us-sex__north-dakota__45-64__female,us_sex,North Dakota,45-64,female,TRUE,,1999-01-31,2023-08-31,293,3
us__us-sex__north-dakota__45-64__male,us_sex,North Dakota,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-dakota__65-84__female,us_sex,North Dakota,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-dakota__65-84__male,us_sex,North Dakota,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-dakota__ge85__female,us_sex,North Dakota,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__north-dakota__ge85__male,us_sex,North Dakota,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__0-44__female,us_sex,Ohio,0-44,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__0-44__male,us_sex,Ohio,0-44,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__45-64__female,us_sex,Ohio,45-64,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__45-64__male,us_sex,Ohio,45-64,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__65-84__female,us_sex,Ohio,65-84,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__65-84__male,us_sex,Ohio,65-84,male,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__ge85__female,us_sex,Ohio,GE85,female,TRUE,,1999-01-31,2023-08-31,296,0
us__us-sex__ohio__ge85__male,us_sex,Ohio,GE85,male,TRUE,,1999-01-31,2023-08-31,296,0
