analysis_id,region,jurisdiction,age_group,sex,included,exclusion_reason,data_start,data_end,n_observations,missing_or_suppressed
us__us-non-sex__massachusetts__60-79__total,us_non_sex,Massachusetts,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__massachusetts__ge80__total,us_non_sex,Massachusetts,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__michigan__20-39__total,us_non_sex,Michigan,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__michigan__40-59__total,us_non_sex,Michigan,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__michigan__60-79__total,us_non_sex,Michigan,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__michigan__ge80__total,us_non_sex,Michigan,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__minnesota__20-39__total,us_non_sex,Minnesota,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__minnesota__40-59__total,us_non_sex,Minnesota,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__minnesota__60-79__total,us_non_sex,Minnesota,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__minnesota__ge80__total,us_non_sex,Minnesota,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__mississippi__20-39__total,us_non_sex,Mississippi,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__mississippi__40-59__total,us_non_sex,Mississippi,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__mississippi__60-79__total,us_non_sex,Mississippi,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__mississippi__ge80__total,us_non_sex,Mississippi,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__missouri__20-39__total,us_non_sex,Missouri,20-39,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__missouri__40-59__total,us_non_sex,Missouri,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__missouri__60-79__total,us_non_sex,Missouri,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__missouri__ge80__total,us_non_sex,Missouri,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__montana__20-39__total,us_non_sex,Montana,20-39,total,TRUE,,1999-06-30,2023-08-31,196,100
us__us-non-sex__montana__40-59__total,us_non_sex,Montana,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__montana__60-79__total,us_non_sex,Montana,60-79,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__montana__ge80__total,us_non_sex,Montana,GE80,total,TRUE,,1999-01-31,2023-08-31,296,0
us__us-non-sex__nebraska__20-39__total,us_non_sex,Nebraska,20-39,total,TRUE,,1999-01-31,2023-08-31,277,19
us__us-non-sex__nebraska__40-59__total,us_non_sex,Nebraska,40-59,total,TRUE,,1999-01-31,2023-08-31,296,0
