"figure","region","geography","age_group","status","reason","geography_label"
"figure_04","us","Oregon","40-59","available",,"Oregon"
"figure_04","us","Pennsylvania","40-59","available",,"Pennsylvania"
"figure_04","us","Rhode Island","40-59","available",,"Rhode Island"
"figure_04","us","South Carolina","40-59","available",,"South Carolina"
"figure_04","us","South Dakota","40-59","available",,"South Dakota"
"figure_04","us","Tennessee","40-59","available",,"Tennessee"
"figure_04","us","Texas","40-59","available",,"Texas"
"figure_04","us","Utah","40-59","available",,"Utah"
"figure_04","us","Vermont","40-59","available",,"Vermont"
"figure_04","us","Virginia","40-59","available",,"Virginia"
"figure_04","us","Washington","40-59","available",,"Washington"
"figure_04","us","West Virginia","40-59","available",,"West Virginia"
"figure_04","us","Wisconsin","40-59","available",,"Wisconsin"
"figure_04","us","Wyoming","40-59","available",,"Wyoming"
"figure_04","us","Alabama","60-79","available",,"Alabama"
"figure_04","us","Alaska","60-79","available",,"Alaska"
"figure_04","us","Arizona","60-79","available",,"Arizona"
"figure_04","us","Arkansas","60-79","available",,"Arkansas"
"figure_04","us","California","60-79","available",,"California"
"figure_04","us","Colorado","60-79","available",,"Colorado"
"figure_04","us","Connecticut","60-79","available",,"Connecticut"
"figure_04","us","Delaware","60-79","available",,"Delaware"
"figure_04","us","District of Columbia","60-79","available",,"District of Columbia"
"figure_04","us","Florida","60-79","available",,"Florida"
"figure_04","us","Georgia","60-79","available",,"Georgia"
"figure_04","us","Hawaii","60-79","available",,"Hawaii"
"figure_04","us","Idaho","60-79","available",,"Idaho"
"figure_04","us","Illinois","60-79","available",,"Illinois"
"figure_04","us","Indiana","60-79","available",,"Indiana"
"figure_04","us","Iowa","60-79","available",,"Iowa"
"figure_04","us","Kansas","60-79","available",,"Kansas"
"figure_04","us","Kentucky","60-79","available",,"Kentucky"
"figure_04","us","Louisiana","60-79","available",,"Louisiana"
"figure_04","us","Maine","60-79","available",,"Maine"
"figure_04","us","Maryland","60-79","available",,"Maryland"
"figure_04","us","Massachusetts","60-79","available",,"Massachusetts"
"figure_04","us","Michigan","60-79","available",,"Michigan"
"figure_04","us","Minnesota","60-79","available",,"Minnesota"
"figure_04","us","Mississippi","60-79","available",,"Mississippi"
"figure_04","us","Missouri","60-79","available",,"Missouri"
"figure_04","us","Montana","60-79","available",,"Montana"
