"figure","region","geography","geography_label","age_group","frequency","coverage_start","usable_observations","expected_observations","missing_observations","coverage_fraction","default_eligible"
"figure_04","us","Florida","Florida","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Georgia","Georgia","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Hawaii","Hawaii","20-39","monthly",2020-01-01,41,44,3,0.931818181818182,FALSE
"figure_04","us","Idaho","Idaho","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Illinois","Illinois","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Indiana","Indiana","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Iowa","Iowa","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Kansas","Kansas","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Kentucky","Kentucky","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Louisiana","Louisiana","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Maine","Maine","20-39","monthly",2020-01-01,43,44,1,0.977272727272727,TRUE
"figure_04","us","Maryland","Maryland","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Massachusetts","Massachusetts","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Michigan","Michigan","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Minnesota","Minnesota","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Mississippi","Mississippi","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Missouri","Missouri","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Montana","Montana","20-39","monthly",2020-01-01,43,44,1,0.977272727272727,TRUE
"figure_04","us","Nebraska","Nebraska","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Nevada","Nevada","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Hampshire","New Hampshire","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Jersey","New Jersey","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Mexico","New Mexico","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New York","New York","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","North Carolina","North Carolina","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","North Dakota","North Dakota","20-39","monthly",2020-01-01,36,44,8,0.818181818181818,FALSE
"figure_04","us","Ohio","Ohio","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Oklahoma","Oklahoma","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Oregon","Oregon","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Pennsylvania","Pennsylvania","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Rhode Island","Rhode Island","20-39","monthly",2020-01-01,37,44,7,0.840909090909091,FALSE
"figure_04","us","South Carolina","South Carolina","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","South Dakota","South Dakota","20-39","monthly",2020-01-01,40,44,4,0.909090909090909,FALSE
"figure_04","us","Tennessee","Tennessee","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Texas","Texas","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Utah","Utah","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Vermont","Vermont","20-39","monthly",2020-01-01,16,44,28,0.363636363636364,FALSE
"figure_04","us","Virginia","Virginia","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Washington","Washington","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","West Virginia","West Virginia","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Wisconsin","Wisconsin","20-39","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Wyoming","Wyoming","20-39","monthly",2020-01-01,20,44,24,0.454545454545455,FALSE
"figure_04","us","Alabama","Alabama","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Alaska","Alaska","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Arizona","Arizona","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Arkansas","Arkansas","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","California","California","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Colorado","Colorado","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Connecticut","Connecticut","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Delaware","Delaware","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","District of Columbia","District of Columbia","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Florida","Florida","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Georgia","Georgia","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Hawaii","Hawaii","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Idaho","Idaho","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Illinois","Illinois","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Indiana","Indiana","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Iowa","Iowa","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Kansas","Kansas","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Kentucky","Kentucky","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Louisiana","Louisiana","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Maine","Maine","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Maryland","Maryland","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Massachusetts","Massachusetts","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Michigan","Michigan","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Minnesota","Minnesota","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Mississippi","Mississippi","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Missouri","Missouri","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Montana","Montana","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Nebraska","Nebraska","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Nevada","Nevada","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Hampshire","New Hampshire","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Jersey","New Jersey","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New Mexico","New Mexico","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","New York","New York","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","North Carolina","North Carolina","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","North Dakota","North Dakota","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Ohio","Ohio","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Oklahoma","Oklahoma","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Oregon","Oregon","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Pennsylvania","Pennsylvania","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Rhode Island","Rhode Island","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","South Carolina","South Carolina","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","South Dakota","South Dakota","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Tennessee","Tennessee","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Texas","Texas","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Utah","Utah","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Vermont","Vermont","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Virginia","Virginia","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Washington","Washington","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","West Virginia","West Virginia","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Wisconsin","Wisconsin","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Wyoming","Wyoming","40-59","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Alabama","Alabama","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Alaska","Alaska","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Arizona","Arizona","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","Arkansas","Arkansas","60-79","monthly",2020-01-01,44,44,0,1,TRUE
"figure_04","us","California","California","60-79","monthly",2020-01-01,44,44,0,1,TRUE
