"Notes"	"Residence State"	"Residence State Code"	"Year"	"Year Code"	"Month"	"Month Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"1-4 years"	"1-4"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"15-19 years"	"15-19"	37	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"20-24 years"	"20-24"	43	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"25-29 years"	"25-29"	55	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"30-34 years"	"30-34"	64	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"35-39 years"	"35-39"	96	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"40-44 years"	"40-44"	108	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"45-49 years"	"45-49"	160	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"50-54 years"	"50-54"	173	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"55-59 years"	"55-59"	301	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"60-64 years "	"60-64"	431	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"65-69 years"	"65-69"	495	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"70-74 years"	"70-74"	572	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"75-79 years"	"75-79"	564	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"80-84 years"	"80-84"	585	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"85-89 years"	"85-89"	490	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"90-94 years"	"90-94"	380	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"95-99 years"	"95-99"	146	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jun., 2021"	"2021/06"	"100+ years"	"100+"	33	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"< 1 year"	"1"	44	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"1-4 years"	"1-4"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"15-19 years"	"15-19"	27	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"20-24 years"	"20-24"	42	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"25-29 years"	"25-29"	65	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"30-34 years"	"30-34"	75	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"35-39 years"	"35-39"	71	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"40-44 years"	"40-44"	129	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"45-49 years"	"45-49"	165	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"50-54 years"	"50-54"	204	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"55-59 years"	"55-59"	341	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"60-64 years "	"60-64"	449	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"65-69 years"	"65-69"	504	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"70-74 years"	"70-74"	603	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"75-79 years"	"75-79"	635	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"80-84 years"	"80-84"	586	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"85-89 years"	"85-89"	546	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"90-94 years"	"90-94"	351	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"95-99 years"	"95-99"	149	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Jul., 2021"	"2021/07"	"100+ years"	"100+"	30	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"< 1 year"	"1"	28	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"15-19 years"	"15-19"	25	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"20-24 years"	"20-24"	39	Not Applicable	Not Applicable
	"Alabama"	"01"	"2021"	"2021"	"Aug., 2021"	"2021/08"	"25-29 years"	"25-29"	67	Not Applicable	Not Applicable
