"Notes"	"State"	"State Code"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Month"	"Month Code"	Deaths	Population	Crude Rate
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Mar., 2015"	"2015/03"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Apr., 2015"	"2015/04"	26	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"May, 2015"	"2015/05"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Jun., 2015"	"2015/06"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Jul., 2015"	"2015/07"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Aug., 2015"	"2015/08"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Sep., 2015"	"2015/09"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Nov., 2015"	"2015/11"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2015"	"2015"	"Dec., 2015"	"2015/12"	14	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Jan., 2016"	"2016/01"	12	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Feb., 2016"	"2016/02"	13	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Mar., 2016"	"2016/03"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Apr., 2016"	"2016/04"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Jun., 2016"	"2016/06"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Jul., 2016"	"2016/07"	11	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Aug., 2016"	"2016/08"	21	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Sep., 2016"	"2016/09"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Oct., 2016"	"2016/10"	24	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Nov., 2016"	"2016/11"	16	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2016"	"2016"	"Dec., 2016"	"2016/12"	20	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Jan., 2017"	"2017/01"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Mar., 2017"	"2017/03"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Apr., 2017"	"2017/04"	17	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"May, 2017"	"2017/05"	18	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Jun., 2017"	"2017/06"	19	Not Applicable	Not Applicable
	"Alabama"	"01"	"15-24 years"	"15-24"	"Female"	"F"	"2017"	"2017"	"Jul., 2017"	"2017/07"	14	Not Applicable	Not Applicable
