"STATISTIC Label","Quarter","Age Group","ICD 10 Diagnostic Group","UNIT","VALUE"
"Deaths Registered","2013Q3","75 - 84 years","Total deaths (A00-Y89)","Number","2011"
"Deaths Registered","2013Q3","85 years and over","Total deaths (A00-Y89)","Number","2245"
"Deaths Registered","2013Q3","All ages","Total deaths (A00-Y89)","Number","6983"
"Deaths Registered","2013Q4","Under 1 year","Total deaths (A00-Y89)","Number","56"
"Deaths Registered","2013Q4","1 - 4 years","Total deaths (A00-Y89)","Number","16"
"Deaths Registered","2013Q4","5 - 14 years","Total deaths (A00-Y89)","Number","25"
"Deaths Registered","2013Q4","15 - 24 years","Total deaths (A00-Y89)","Number","63"
"Deaths Registered","2013Q4","25 - 34 years","Total deaths (A00-Y89)","Number","133"
"Deaths Registered","2013Q4","35 - 44 years","Total deaths (A00-Y89)","Number","170"
"Deaths Registered","2013Q4","45 - 54 years","Total deaths (A00-Y89)","Number","386"
"Deaths Registered","2013Q4","55 - 64 years","Total deaths (A00-Y89)","Number","725"
"Deaths Registered","2013Q4","65 - 74 years","Total deaths (A00-Y89)","Number","1207"
"Deaths Registered","2013Q4","75 - 84 years","Total deaths (A00-Y89)","Number","1984"
"Deaths Registered","2013Q4","85 years and over","Total deaths (A00-Y89)","Number","2279"
"Deaths Registered","2013Q4","All ages","Total deaths (A00-Y89)","Number","7044"
"Deaths Registered","2014Q1","Under 1 year","Total deaths (A00-Y89)","Number","65"
"Deaths Registered","2014Q1","1 - 4 years","Total deaths (A00-Y89)","Number","4"
"Deaths Registered","2014Q1","5 - 14 years","Total deaths (A00-Y89)","Number","11"
"Deaths Registered","2014Q1","15 - 24 years","Total deaths (A00-Y89)","Number","47"
"Deaths Registered","2014Q1","25 - 34 years","Total deaths (A00-Y89)","Number","93"
"Deaths Registered","2014Q1","35 - 44 years","Total deaths (A00-Y89)","Number","148"
"Deaths Registered","2014Q1","45 - 54 years","Total deaths (A00-Y89)","Number","343"
"Deaths Registered","2014Q1","55 - 64 years","Total deaths (A00-Y89)","Number","759"
"Deaths Registered","2014Q1","65 - 74 years","Total deaths (A00-Y89)","Number","1353"
"Deaths Registered","2014Q1","75 - 84 years","Total deaths (A00-Y89)","Number","2441"
"Deaths Registered","2014Q1","85 years and over","Total deaths (A00-Y89)","Number","2846"
"Deaths Registered","2014Q1","All ages","Total deaths (A00-Y89)","Number","8110"
"Deaths Registered","2014Q2","Under 1 year","Total deaths (A00-Y89)","Number","55"
"Deaths Registered","2014Q2","1 - 4 years","Total deaths (A00-Y89)","Number","17"
